InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85213,WHITE HANGING HEART T-LIGHT HOLDER,8,12/07/2011 00:00,8.82,18112,Sweden
536365,85145,RED WOOLLY HOTTIE WHITE HEART,42,12/09/2011 00:00,6.51,17890,Switzerland
536365,85153,CREAM CUPID HEARTS COAT HANGER,34,27/02/2011 00:00,3.26,18103,Italy
536365,85133,CREAM CUPID HEARTS COAT HANGER,21,01/07/2011 00:00,4.96,18034,EIRE
536365,85205,KNITTED UNION FLAG HOT WATER BOTTLE,44,10/01/2011 00:00,9.71,18264,France
536365,85152,BLUE SKITTLE GIFTBOX,21,26/02/2011 00:00,7.95,18099,Belgium
536365,85159,HAND WARMER UNION JACK,17,27/04/2011 00:00,3.93,18324,France
536365,85124,HAND WARMER UNION JACK,1,08/06/2011 00:00,2.96,18296,Sweden
536365,85202,KNITTED UNION FLAG HOT WATER BOTTLE,8,14/05/2011 00:00,8.84,18134,Netherlands
536365,85175,BLUE SKITTLE GIFTBOX,9,06/02/2011 00:00,2.2,17984,Netherlands
536365,85149,WHITE HANGING HEART T-LIGHT HOLDER,17,11/07/2011 00:00,7.92,18210,Norway
536365,85144,KNITTED UNION FLAG HOT WATER BOTTLE,32,17/04/2011 00:00,3.54,17988,UK
536365,85153,RECIPE BOX WITH METAL LID,35,02/09/2011 00:00,10.65,18221,Italy
536365,85151,WHITE HANGING HEART T-LIGHT HOLDER,25,23/12/2010 00:00,1.58,18064,Sweden
536365,85124,RECIPE BOX WITH METAL LID,8,04/12/2010 00:00,5.17,18246,France
536365,85166,HAND WARMER UNION JACK,50,01/01/2011 00:00,10.1,18189,Sweden
536365,85153,RED WOOLLY HOTTIE WHITE HEART,33,06/02/2011 00:00,3.57,18144,Belgium
536365,85208,RECIPE BOX WITH METAL LID,28,31/05/2011 00:00,1.83,17888,Belgium
536365,85138,RECIPE BOX WITH METAL LID,27,28/06/2011 00:00,7.22,18190,Belgium
536365,85149,WHITE HANGING HEART T-LIGHT HOLDER,45,10/02/2011 00:00,8.01,17980,Germany
536366,85204,BLUE SKITTLE GIFTBOX,35,04/05/2011 00:00,6.1,17851,Italy
536366,85126,RECIPE BOX WITH METAL LID,1,02/03/2011 00:00,1.21,17946,EIRE
536366,85188,KNITTED UNION FLAG HOT WATER BOTTLE,30,28/01/2011 00:00,4.22,18043,Switzerland
536366,85206,CREAM CUPID HEARTS COAT HANGER,34,21/05/2011 00:00,11.67,17918,UK
